exp,H,beta,m,V
472,0.03,1.5707963267949,1.3067,7.76842105263158
473,0.03,1.5707963267949,1.3067,8.14736842105263
474,0.03,1.5707963267949,1.3067,8.52631578947368
475,0.03,1.5707963267949,1.3067,8.90526315789474
476,0.03,1.5707963267949,1.3067,9.28421052631579
477,0.03,1.5707963267949,1.3067,9.66315789473684
478,0.03,1.5707963267949,1.3067,10.0421052631579
479,0.03,1.5707963267949,1.3067,10.4210526315789
480,0.03,1.5707963267949,1.3067,10.8
481,0.03,2.35619449019234,0.7325,3.6
482,0.03,2.35619449019234,0.7325,3.97894736842105
483,0.03,2.35619449019234,0.7325,4.35789473684211
484,0.03,2.35619449019234,0.7325,4.73684210526316
485,0.03,2.35619449019234,0.7325,5.11578947368421
486,0.03,2.35619449019234,0.7325,5.49473684210526
487,0.03,2.35619449019234,0.7325,5.87368421052632
488,0.03,2.35619449019234,0.7325,6.25263157894737
489,0.03,2.35619449019234,0.7325,6.63157894736842
490,0.03,2.35619449019234,0.7325,7.01052631578947
491,0.03,2.35619449019234,0.7325,7.38947368421053
492,0.03,2.35619449019234,0.7325,7.76842105263158
493,0.03,2.35619449019234,0.7325,8.14736842105263
494,0.03,2.35619449019234,0.7325,8.52631578947368
495,0.03,2.35619449019234,0.7325,8.90526315789474
496,0.03,2.35619449019234,0.7325,9.28421052631579
497,0.03,2.35619449019234,0.7325,9.66315789473684
498,0.03,2.35619449019234,0.7325,10.0421052631579
499,0.03,2.35619449019234,0.7325,10.4210526315789
500,0.03,2.35619449019234,0.7325,10.8
501,0.03,2.35619449019234,0.9379,3.6
502,0.03,2.35619449019234,0.9379,3.97894736842105
503,0.03,2.35619449019234,0.9379,4.35789473684211
504,0.03,2.35619449019234,0.9379,4.73684210526316
505,0.03,2.35619449019234,0.9379,5.11578947368421
506,0.03,2.35619449019234,0.9379,5.49473684210526
507,0.03,2.35619449019234,0.9379,5.87368421052632
508,0.03,2.35619449019234,0.9379,6.25263157894737
509,0.03,2.35619449019234,0.9379,6.63157894736842
510,0.03,2.35619449019234,0.9379,7.01052631578947
511,0.03,2.35619449019234,0.9379,7.38947368421053
